data_id,type,record_id,opentimestamps,numbers,avalanche,iscn,ipfs,filecoin,storj
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x13b0778ab9585b110589af37c9590fdb944990b9917d0d75fc4a297128ef6b47,https://snowtrace.io/tx/0x14d6b0b76e8076d70b7776efcb8f20afe2cd1769b62c75ac325af6b829c61c5f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FjYTD7mwPngoTb_jvKks_6pkESU9XVbVAicLkfqPrCCk%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Redaction: Zero Knowledge Proof,bafybeia2zkl3guyuon3osrbzezs3u4ywod3xn5ycnjdnmbkk3a7u554lc4,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x13b0778ab9585b110589af37c9590fdb944990b9917d0d75fc4a297128ef6b47,https://snowtrace.io/tx/0x14d6b0b76e8076d70b7776efcb8f20afe2cd1769b62c75ac325af6b829c61c5f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FjYTD7mwPngoTb_jvKks_6pkESU9XVbVAicLkfqPrCCk%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreidtqkj3cacvt7iwupkesfwqqhm4hvnk5lax725nddmzao34agsxqa,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x13b0778ab9585b110589af37c9590fdb944990b9917d0d75fc4a297128ef6b47,https://snowtrace.io/tx/0x14d6b0b76e8076d70b7776efcb8f20afe2cd1769b62c75ac325af6b829c61c5f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FjYTD7mwPngoTb_jvKks_6pkESU9XVbVAicLkfqPrCCk%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1886,Primary,bafkreia4xsawpfyjjfyvghevzn3gwerhj34wpr7gqid5z3dn4dit2xqc2i,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xe16ac1ae5aaf40d659fff507a03683ac979e1122242efe0784f1a36ffd5cc406,https://snowtrace.io/tx/0x12859f848135bb150d165d23a822e16f6ce73d99df16e4e1cc0e01174ba7a2fb,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2Fm_EPYyr8F4KCRkWPA_qfy3OvWcxxWYR_9k5HyP2D1K4%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xe16ac1ae5aaf40d659fff507a03683ac979e1122242efe0784f1a36ffd5cc406,https://snowtrace.io/tx/0x12859f848135bb150d165d23a822e16f6ce73d99df16e4e1cc0e01174ba7a2fb,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2Fm_EPYyr8F4KCRkWPA_qfy3OvWcxxWYR_9k5HyP2D1K4%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreiapb7irivnyvhb75ib3biw3vv5v7nhazrgba3tyiem47pjlobp4bm,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0xe16ac1ae5aaf40d659fff507a03683ac979e1122242efe0784f1a36ffd5cc406,https://snowtrace.io/tx/0x12859f848135bb150d165d23a822e16f6ce73d99df16e4e1cc0e01174ba7a2fb,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2Fm_EPYyr8F4KCRkWPA_qfy3OvWcxxWYR_9k5HyP2D1K4%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C081,Primary,bafybeiabtlk25mkj34cz6wdturtb6qdjxmevl7t2j72ye3gbkefwj77utu,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x2ba0081e308715c747cd152400d71f9a381fd505de4259c4f2229041bdf9a034,https://snowtrace.io/tx/0x19909440e6ba573e844278727ab1360ecf716e23fa875353ae859d03bbf2e468,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPtN3qm3Mf77pbiHZX9Azi-NmnY4-cxDRsvkiBFqei9U%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeigptlspcqixymsqvajeslp4xzyrpry73ffne5z45tm3cfmydgl2ua,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x2ba0081e308715c747cd152400d71f9a381fd505de4259c4f2229041bdf9a034,https://snowtrace.io/tx/0x19909440e6ba573e844278727ab1360ecf716e23fa875353ae859d03bbf2e468,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPtN3qm3Mf77pbiHZX9Azi-NmnY4-cxDRsvkiBFqei9U%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreibzweel7ybix7e5jgpidqwayvackjifenycfb76723qzmqfkez6am,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x2ba0081e308715c747cd152400d71f9a381fd505de4259c4f2229041bdf9a034,https://snowtrace.io/tx/0x19909440e6ba573e844278727ab1360ecf716e23fa875353ae859d03bbf2e468,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FPtN3qm3Mf77pbiHZX9Azi-NmnY4-cxDRsvkiBFqei9U%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-0151,Primary,bafkreihh25xscin5yum77pf25bd2lgoy62pglbb45vefss54g7exupfjxe,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x1b0443e01e50a643f09f2675353923d9a72aa4497c62951debd17e3190f29564,https://snowtrace.io/tx/0xa2bd3613e0e013b9a2a8fac0cd9083f3d9805bc67823017deb5928a015a8d66a,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FE6yTUH3BokkS4-U2F88g9ZyKIM9uWOh_cZwgTfgyIY0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
