data_id,registration_filename,relatedAssetCid
C056,C056.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C057,C057.png,bafybeifhagcmhh3vytsk3xjlaod4c5zebvam7ygxuxhd3ajoqia7wn5xua
C058,C058.png,bafybeifhagcmhh3vytsk3xjlaod4c5zebvam7ygxuxhd3ajoqia7wn5xua
C059,C059.png,bafybeig2lvdloj4dnu4m4tlclnslxcbc56ylryaupipdy2swxrjadu44ma
C060,C060.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C061,C061.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C062,C062.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C068,C068.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C069,C069.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C071,C071.png,bafybeigyytrzlq5yibk2htzimxslvrtcaxgeesz46qugjldzv7gpfoq7sy
C072,C072.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C073,C073.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C081,C081.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C089,C089.png,bafybeiav2t5vpvhrlla4q5fxe6zyuwiawdp6tdnuegkuv426f4z7oua2pe
C094,C094.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C106,C106.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C116,C116.png,bafybeicveesggqgt2pup2rnzdzzn4kfeysblznpfm2noup4l6u55majdsy
C117,C117.png,bafybeigzqeiqpxorm2ovzlv6tweutkujr7xlxlglr2ienywwj6eybq3fgu
C144,C144.png,bafybeifhagcmhh3vytsk3xjlaod4c5zebvam7ygxuxhd3ajoqia7wn5xua
C145,C145.png,bafybeifhagcmhh3vytsk3xjlaod4c5zebvam7ygxuxhd3ajoqia7wn5xua
UCR1,UCR1.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
UCR2,UCR2.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
UCR3,UCR3.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
UCR4,UCR4.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
